,Name,Link
22,อนุบาลสาริน,https://www.spu.ac.th/directory/school/14-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%B4%E0%B8%99/
23,อนุบาลสาริน,https://www.spu.ac.th/directory/school/925-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%B4%E0%B8%99/
24,ศรีดรุณ,https://www.spu.ac.th/directory/school/15-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%94%E0%B8%A3%E0%B8%B8%E0%B8%93/
25,ศรีดรุณ,https://www.spu.ac.th/directory/school/889-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%94%E0%B8%A3%E0%B8%B8%E0%B8%93/
26,ช่างอากาศอำรุง,https://www.spu.ac.th/directory/school/16-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%8A%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%AD%E0%B8%B3%E0%B8%A3%E0%B8%B8%E0%B8%87/
27,วชิราวุธวิทยาลัย,https://www.spu.ac.th/directory/school/17-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%A7%E0%B8%8A%E0%B8%B4%E0%B8%A3%E0%B8%B2%E0%B8%A7%E0%B8%B8%E0%B8%98%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2/
28,อนุบาลเลิศนุวัฒน์,https://www.spu.ac.th/directory/school/18-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%80%E0%B8%A5%E0%B8%B4%E0%B8%A8%E0%B8%99%E0%B8%B8%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C/
29,อนุบาลยุววิทย์,https://www.spu.ac.th/directory/school/19-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%A2%E0%B8%B8%E0%B8%A7%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C/
30,เซนต์คาเบรียล,https://www.spu.ac.th/directory/school/20-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A5/
31,กันตะบุตร,https://www.spu.ac.th/directory/school/21-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%B0%E0%B8%9A%E0%B8%B8%E0%B8%95%E0%B8%A3/
32,สรรพาวุธบำรุง,https://www.spu.ac.th/directory/school/23-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AA%E0%B8%A3%E0%B8%A3%E0%B8%9E%E0%B8%B2%E0%B8%A7%E0%B8%B8%E0%B8%98%E0%B8%9A%E0%B8%B3%E0%B8%A3%E0%B8%B8%E0%B8%87/
33,เซนต์ฟรังซีสซาเวียร์คอนแวนต์,https://www.spu.ac.th/directory/school/24-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B8%9F%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%8B%E0%B8%B5%E0%B8%AA%E0%B8%8B%E0%B8%B2%E0%B9%80%E0%B8%A7%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%A7%E0%B8%99%E0%B8%95%E0%B9%8C/
